spa,quz
decida qué cosas no va a tolerar al tratar con alguien del sexo opuesto.,decidikuy imakunapi ama nishuta huk qhariwan hukllachakunaykipaq.
"por ejemplo, no sería apropiado hablar con un amigo de sus problemas matrimoniales o salir a tomar unas copas con un compañero de trabajo.","ejemplopaq, manan allinchu kanman qosaykiwan ima sasachakuykunapi kasqaykichismanta amigoykiwan rimay otaq iskaynillaykichis mikhuq riypas."
"si ya tiene una amistad demasiado estrecha con alguien del sexo opuesto, ponga fin a esa relación.",sichus nishuta huk qhariwan rimashanki chayqa amaña chayta ruwayñachu.
"si cree que no lo va a soportar, pregúntese por qué.",sichus chay ruwayta mana atinkichu chayqa yuyaykuy imarayku mana atisqaykipi.
“regocíjate con la esposa de tu juventud .,"“wayna kashaspa casarakusqayki, warmillaykiwan kusikuy ."
"desde que nací, la parálisis cerebral me privó de los gozos de la infancia ”.","erqe kashaspayqa manan kusikuyta tariranichu nacesqaymantapacha ñosqhonniypi onqoyniyoq kasqayrayku ”, nispa."
¿hablo de mis problemas matrimoniales con ese amigo?,¿casado kawsayniypi sasachakuykunamantachu chay amigoywan rimani?
¿busco oportunidades para estar con él?,¿ima hawallapas paywan kuskachu kayta munani?
¿le oculto a mi esposo la amistad que tengo con él?,¿yachanchu qosay chay runawan amigontin kasqaykuta?
dios tiene gran paciencia.,diosqa ancha pacienciayoqmi.
"aunque se vean ante el peligro de perder el empleo, la casa y hasta la pensión, muchas personas siguen obsesionadas con tener todo lo que el dinero puede comprar.",askha runakunan llank’anankuta wasinkuta sueldonkutapas chinkachinankuta mana manchakusparaq tukuy rikusqankuta rantiyta munanku.
¡qué ironía!,¡mana yuyayniyoq kaymá chayqa!
"no importa, cárguelo a la tarjeta de crédito.",mana qolqenku kaqtinpas “manupipas apakullay ” ninkun.
"para muchos, lo importante es dar la apariencia de tener dinero aunque estén endeudados hasta el cuello.","askha runakunan qhapaq hina qhawarisqa kayta munanku, chaymi rantishallanku hukman hukmanña manu kanku chaypas."
pero tarde o temprano chocan con la realidad.,qhepamanmi ichaqa reparakunqaku.
“comprar artículos lujosos a crédito para parecer y sentirse importante es como fumar crac para sentir euforia.,"huk libron nin: “allin qhawarisqa kanapaq valorniyoq artefactokunata manupi rantiyqa, kusisqa sientekunapaq crack (chayqa cocaína hina drogata fumay hinan."
"las dos cosas se consiguen fácilmente y producen el efecto deseado, pero solo por poco tiempo.","drogapas imaymanata rantiypas ratollan tarikun, kusisqatan sientechin, ichaqa manan unaypaqchu."
"a la larga, las dos dejan a la persona deprimida y sin un centavo ”, dice el libro the narcissism epidemic (la epidemia del narcisism.","tiempowanqa llakiq ñit’isqanmi tarikunku wakchayapunkutaq kanpas ”, nispa (la epidemia del narcisismo, inglés simip."
la biblia indica que jactarse de lo que uno tiene es absurdo.,biblian willan imaymanayoq kasqanmanta hatunchakuqqa mana yuyayniyoq kasqanta.
veamos tres ejemplos.,¿imakunatan mana rantiyta atinmanchu?
una adolescente de estados unidos llamada beatriz dice que su padre da demasiada importancia al trabajo y al dinero que gana.,estados unidosmanta beatriz sutiyoq sipasmi nin: “taytayqa nishutapunin llank’ananman qolqe maskhaymanpas qokun.
"“tenemos todo lo que necesitamos y más, pero con tantos viajes de negocios, papá nunca está en casa.","wasiypiqa manan imapas faltawankuchu ichaqa taytayqa manan hayk’aqpas wasiypiqa kanchu, llank’ananraykun maymanpas viajashallan."
"sé que tiene que trabajar, pero también debe dedicar tiempo a la familia ”, comenta.","yachanin llank’anan kasqanta ichaqa ñoqaykuwan kuska kananpaqpas tiempotaqa t’aqananmi ”, nispa."
pregúntese: ¿qué podría lamentar con el tiempo el padre de beatriz?,kaykunata tapukuy: ¿imakunamantan beatrizpa taytan qhepakunaman yaqapas pesapakunman?
¿qué efecto está teniendo en la relación con su hija el que le dé tanta importancia a lo material?,¿imaynan ususin sientekushan nishuta qhapaq kayta taytan maskhasqanrayku?
¿qué cosas necesita su familia mucho más que el dinero?,¿imatan familian qolqemantapas astawan necesitan?
principios bíblicos:,bibliaq yachachikuyninkuna:
conclusión: el dinero no puede comprar la felicidad familiar.,familiapi kusisqa kawsaytaqa manan qolqewan rantiyta atiwaqchu.
esta solo se consigue dedicando tiempo a la familia y dándole el cariño y la atención que merece.,aswanpas chaytaqa tarinki familiaykiwan kuska kaspa munakuyniykita rikuchispa iman.
"“mi mamá siempre me está diciendo que me case con un hombre rico y que, por si algo falla, aprenda una profesión para conseguir un buen empleo que me permita vivir bien el resto de mi vida dice sara, de diecisiete años .","watayoq sara sutiyoq sipasmi nin: “mamayqa sapa kutillanmi niwan qhapaq runawan casarakunaypaq, niwallantaqmi profesionniyoq kanaypaq, chhaynapi imapipas tarikuqtiyqa allin llank’anata tarispay allinta kawsanaypaq."
pregúntese: ¿qué cosas le preocupan del futuro?,kaykunata tapukuy: ¿qhepaman imakuna pasanasuykimantachu llakikushanki?
"¿son preocupaciones válidas, o más bien obsesiones?","¿cheqaqtachu chaykuna llakikunapaq hina, icha mana kaqmantachu llakikushanki?"
¿qué cambios debería hacer la madre de sara en su manera de ver la seguridad económica?,¿imapin saraq maman cambianan qolqemanta yuyaykusqanpi?
principios bíblicos:,bibliaq yachachikuyninkuna:
la biblia enseña que la clave para un futuro realmente seguro está en conocer a dios y su propósito.,"aswanpas hamuq tiempopi allin kawsaytaqa tarisunchis diosmanta munayninmantapas yachaspan, chaytan biblia niwanchis."
"“mis padres me enseñaron a llevar una vida sencilla dice tania, de veinticuatro años .",watayoq tania sutiyoq sipasmi nin: “tayta mamaykun yachachiwarqanku kapuqnillaykuwan kawsayta.
pregúntese: ¿por qué puede ser difícil sentirse satisfecho con lo necesario?,kaykunata tapukuy: ¿imaraykun kapuqnillaykiwan kawsay mayninpi sasa kanman?
¿qué ejemplo le está dando a su familia en lo que tiene que ver con el dinero?,¿imatan familiayki reparan qolqeta imayna qhawarisqaykita rikuspanku?
principios bíblicos:,bibliamanta yachachikuykuna:
"bien dice la biblia: “hasta cuando uno tiene en abundancia, su vida no resulta de las cosas que posee ”.","biblian nin: “runaq kawsayninqa manan askha kaqniyoq kaspallachu allin kanqa ”, nispa."
"para hallar verdadera satisfacción en la vida, necesitamos conocer la respuesta a preguntas como las siguientes:",cheqaq kusikuyta tarinapaqqa kay tapuykunaq kutichiynintan yachananchis:
¿por qué existimos?,¿imaraykun kawsanchis?
¿qué nos depara el futuro?,¿imaynan hamuq tiempoman kawsay kanqa?
¿cómo puedo satisfacer mis necesidades espirituales?,¿imatan ruwanay diosta reqsinaypaq?
"los testigos de jehová, editores de esta revista, le ayudarán con mucho gusto a responder estas preguntas.",kay revistata qelqamuq jehová diospa testigonkunan ancha kusikuywan yanapasunkiku chay tapuykunaq kutichiyninta tarinaykipaq.
se han cambiado algunos nombres.,wakin sutikunan cambiakun.
"“generalmente, las personas materialistas son menos felices y más propensas a deprimirse.","“qolqe sonqo runakunaqa manan kusisqachu kawsanku, ratollan sinchi llaki onqoypi tarikunku."
"hasta el simple hecho de querer tener más dinero ocasiona problemas emocionales y también físicos, como dolor de garganta, de espalda y de cabeza.","qolqeyoq kayta munaypas runakunatan sonqonkupi llakichin, hinaspapas kunkanku, wasanku, umankun nanan."
"además, esas personas tienden a beber en exceso y a consumir drogas.",chaymantapas chay runakunaqa nishu ukyayman drogakuyman iman qokunku.
"“cuando se les preguntaban las razones para ir a la universidad en los años sesenta y principios de los setenta, la mayoría de los estudiantes le daba importancia a ‘ convertirse en una persona educada ’ o ‘ desarrollar una filosofía de vida ’.","“waranqa jisq'un pachak suqta chunka watakunapi waranqa jisq'un pachak qanchis chunka wata qallariykunapi iman estudiantekunata tapurqanku imarayku universidadman risqankuta, hinan askha kutichirqanku ‘ allin educacionniyoq ’ otaq ‘ imatapas allinta yachanankupaq ’ risqankuta."
sólo una minoría consideraba ‘ ganar mucho dinero ’ como la razón principal de acudir a la universidad.,pisillan kutichirqanku ‘ askha qolqe gananankupaq ’ risqankuta.
"comenzando en los noventa, una mayoría de estudiantes dice que ‘ el ganar mucho dinero ’ se ha convertido en la razón principal para asistir a la universidad .",ichaqa waranqa jisq'un pachak jisq'un chunka watakunapin askha estudiantekuna kutichirqanku ‘ askha qolqe gananankupaq ’ universidadman risqankuta .
"(el precio del privilegio, de la psicóloga madeline levine.)","chaykunaqa nishutapunin yapakurqan ” (el precio del privilegio, de la psicóloga madeline levin."
"según la psicóloga madeline levine, gastar dinero puede convertirse en una terapia que hace que la gente se sienta bien en un mundo en el que la familia, la comunidad y la religión les ha fallado.","madeline levine psicóloga nisqanman hinaqa, familiankupi llaqtankupi religionninkupi mana ima allintapas tarispankun runakunaqa imaymanata rantispa thak sientekuyta munanku."
“comprar es una manera de controlar nuestro ambiente escribe en su libro el precio del privilegio .,"huk libro qelqasqanpin nin: “rantispaqa imachus munasqanchistan ruwanchis, negociokunatan ruwanchis."
nos pone a cargo de transacciones y confiere un sentido de poder al comprador.,"qolqeta gastaspaqa atiyniyoqmi sientekunchis, ichaqa chay atiyniyoq sientekuyqa yanqan."
"este tipo de poder es ilusorio, por supuesto.",aswan atiyniyoqqa kanku chay hatun empresakunan propagandankunata ruwaqkunapas.
¿casualidad o diseño?,¿kikillanmantachu paqarimurqan?
"el oído del saltamontes tropical sudamericano (copiphora gorgonensi mide menos de un milímetro, pero funciona de forma sorprendentemente parecida al oído humano.","américa del sur nisqapi tiyaq ch’illikuq (t’isku t’isk ninrinqa (copiphora gorgonensi nishu huch’uypunin, chaywanpas runaq ninrin hinan allinta uyarin."
"con él, el insecto puede detectar una amplia variedad de frecuencias a larga distancia.",chay animalchaqa karumantaraqmi reparan imaymana clase sonidokunata.
"por ejemplo, es capaz de distinguir entre el sonido que producen otros saltamontes y el que emite su principal depredador, el murciélago.","reparanmi huk ch’illikuq waqasqanta, mikhuqnin murcielagoq waqasqantapas."
el oído del saltamontes,ch’illikuq ninrin
piense en lo siguiente: los oídos del saltamontes se encuentran en sus patas delanteras.,kaypi yuyaykuy: ch’illikuq ninrinkunaqa ñawpaq chakinkunapin tarikun.
"al igual que el sistema auditivo humano, el del saltamontes capta los sonidos, los convierte y analiza su frecuencia.",runaq ninrin hinan ch’illikupas uyarispa reparan ima sonido kasqanta.
"ahora bien, los científicos han descubierto un órgano único en su interior: una especie de globo alargado lleno de líquido a presión.",ninrin ukhupin cientificokuna tarirqanku hunt’a unuyoq huch’uy bolsata hina.
"dicho órgano, al que llamaron “vesícula acústica ”, funciona como la cóclea de los mamíferos, solo que es mucho más pequeña.","chaytan suticharqanku “hayaqenman rikch’akuq uyariq bolsa ” nispa, chayqa nishu huch’uyllan, chaywanpas wakin animalkunaq ninrin ukhunpi kaq cóclea nisqa hinan allinta uyarin."
esta es la clave de la asombrosa capacidad auditiva del saltamontes.,chayraykun ch’illikuq ninrinqa admirakunapaq hina.
"el doctor montealegre zapata, un investigador colombiano que trabaja en la facultad de ciencias de la vida de la universidad de lincoln (reino unid, comenta que estos hallazgos “abren un camino para el diseño de sensores ultrasensibles bio inspirados ”.","bristol universidadmanta (reino unid daniel robert profesormi nirqan: “chay animalchamanta yachayqa ingenierokunatan yanapanqa allinta uyariq aswan huch’uy aparatokunata ruwanankupaq ”, nispa."
"los investigadores creen que también contribuirá al avance de la tecnología de ultrasonido que se utiliza, por ejemplo, en los hospitales.","estudioso runakunapas yuyaykunku chaymanta yachasqankuqa yanapanqan runaq mana uyariy atisqan allinta uyariq maquinakunata ruwanankupaq, chaytaqa hospitalkunapin utilizanku."
¿qué le parece?,¿iman ninkin chaymanta?
"¿es el asombroso oído del saltamontes producto de la evolución, o fue diseñado?",¿kikillanmantachu ch’illikuq ninrin allin uyariq karqan icha kamasqachu karqan?
"sea como fuere, lo que sí sabemos es que el hombre era rico, es decir, ya tenía muchas posesiones.",imaynaña kaqtinpas chay runaqa qhapaq runan karan.
"todos nos sentimos tristes de vez en cuando, pero la depresión clínica es un trastorno debilitante y continuo que interfiere con las actividades cotidianas de la persona.","llapanchismi mayninpiqa llakisqa tarikunchis, llaki onqoywan kaqkunan ichaqa sapa kutillan llakiq ñit’isqan kashanku, chaymi pisikallpa tarikunku manataqmi ruwanankutapas allintachu ruwanku."
"aunque no todos los expertos concuerdan en lo que es una tristeza normal y lo que es un trastorno, la verdad es que algunas personas experimentan emociones extremadamente negativas, acompañadas a veces de sentimientos de inutilidad y de culpa desmedida.",yachayniyoqkunaqa manan kaqllatachu yuyaykunku hayk’aqchus huk runa llaki onqoywan kashan hayk’aqtaqchus imamantapas llakisqa kashan chaytaqa.
algunos siervos de dios tuvieron emociones negativas.,"ichaqa wakinqa nishutan mana allinkunallapi yuyaykunku, chaymi mana valeqpaq qhawarikunku imamantapas nishuta huchachakunku ima."
"y en cierta ocasión, el profeta elías se angustió tanto que le pidió a dios que le quitara la vida.","profeta eliaspas huk kutinmi sinchi llakisqa kaspa diosta nirqan: “kawsayniyta qechupuway ”, nispa ."
los cristianos del siglo primero recibieron la exhortación de “habl ar confortadoramente a las almas abatidas ”.,"ñawpa tiempopi cristianokunaqa ‘ manchalikunata llakisqa kaqkunatan, nm yanapananku ’ karqan."
"según cierto comentario bíblico, la expresión “almas abatidas ” puede referirse a“ aquellos que pasan por períodos de agobio debido a los problemas de la vida ”.",bibliamanta willaq qelqaq nisqanman hinaqa ‘ llakisqakunaqa ’ kankumanmi “imaynapipas tarikusqankumanta pisikallpayaqkuna ”.
,“yachanchismi diospa tukuy imaymana kamasqankunaqa kunankama waqasqankuta muchusqankutapas ” 
las enfermedades son consecuencia de la rebelión de nuestros primeros padres.,adán evaq huchallikusqankuraykun runakunaqa onqonchis.
"por ejemplo, salmo cincuenta y uno: cinco dice: “con error fui dado a luz con dolores de parto, y en pecado me concibió mi madre ”.","salmo phichqa. chunka jukniyuq: phichqa.niyuq texton nin: “cheqaqtapunin huchallantinña nacerqani, huchallantintañan mamay wachakuwarqan ”, nispa."
"y romanos cinco: doce explica que “por medio de un solo hombre adán el pecado entró en el mundo, y la muerte mediante el pecado, y así la muerte se extendió a todos los hombres porque todos habían pecado ”.","romanos phichqa.niyuq: chunka iskayniyuq textopas ninmi: “imaynan huk runallawan adán huchaqa kay pachapi qallarirqan, huchawantaq wañuypas rikhurirqan, chay hinallataqmi, wañuyqa llapa runaman chayarqan llapallan huchallikusqankurayku ”, nispa."
"como hemos heredado de adán la imperfección, enfermamos física y emocionalmente.",adanpa miraynin kasqanchisraykun runakunaqa imaymanawan onqonchis.
de ahí que dios indique que “toda la creación sigue gimiendo juntamente y estando en dolor juntamente ”.,chayraykun diosqa willarqan “tukuy imaymana kamasqankunaqa kunankama waqasqankuta ”.
pero él también ofrece una esperanza que no nos puede ofrecer ningún médico: la de vivir en un nuevo mundo pacífico sin depresión ni ningún otro tipo de trastorno o enfermedad.,"ichaqa willawallanchistaqmi qhepa tiempoman sumaq kawsay kananmanta, chaypiqa manañan llaki onqoypas huk onqoykunapas kanqañachu, chhayna suyakuymantaqa manan ima doctorpas niwasunmanchu."
hay que reconocer que no siempre podemos controlar nuestras circunstancias y que nos van a pasar cosas malas.,imapas qonqay sucedewasqanchisraykun ima llakipipas tarikusunman .
pero sí podemos tomar medidas para que los pensamientos negativos no nos controlen.,chhaynapi tarikuspa mana allin yuyaykuykunawan mana atipachikunapaqqa kaykunatan ruwananchis.
lucas cinco: treinta y uno indica que los enfermos necesitan ir al médico.,onqosqakunaqa doctortan necesitanku.
"así que si usted padece un trastorno psicológico debilitante como la depresión, no hay nada de malo en que busque atención médica.",chayrayku llaki onqoywan kashanki chayqa manan huchachu doctorman riyqa.
la biblia también destaca el valor de la oración.,diosmanta mañakuypas allinmi.
"salmo cincuenta y cinco: veintidós dice: “arroja tu carga sobre jehová mismo, y él mismo te sustentará.","salmo phichqa. chunka phichqa.niyuq: iskay chunka iskayniyuq texton nin: “señor diosman llakipakuyniykikunata saqey, paymi qaqata sayachisunki, manan hayk’aqpas chanin runataqa urmachisqa kananta munanqachu ”, nispa."
nunca permitirá que tambalee el justo ”.,"diosmanta mañakuyqa manan thak kanallapaqchu, biblian nin: “señor diosqa llakisqa sonqoyoqkunaq qayllanpin kashan ”, nispa."
la oración no es una simple muleta psicológica.,chayraykun mañakuspaqa dioswanpuni rimanchis .
"jehová “está cerca de los que están quebrantados de corazón ”, y cuando una persona le ora, realmente se está comunicando con él.",huk amigoykiman tukuyta willakuypas yanapasunkimanmi .
"aunque había evitado ese tema por años, me di cuenta de que tenía que haberme desahogado desde el principio.","askha watakunan chhayna onqoyniyoq kasqaymantaqa mana willakurqanichu, chay qhepamanmi ichaqa reparakurqani yanapayta ñawpaqmantaraq maskhanay kasqanta."
nunca pensé que eso me ayudaría tanto ”.,"willakusqayqa anchatapunin yanapawarqan ”, nispa."
también puede suceder que alguien cometa un pecado y sea expulsado de la congregación por no haberse arrepentido hasta ese momento.,wakin cristianokuna diospa llaqtanmanta qarqochikunku huchankumanta mana pesapakusqankurayku.
pero ni siquiera en ese caso el pecado es necesariamente imperdonable.,chaywanpas huchanqa manan mana pampachana nisqaraqchu kanman.
"sin embargo, para recuperarse en sentido espiritual, el pecador debe aceptar la ayuda bíblica de los ancianos cristianos y demostrar que está arrepentido de verdad.","huchaman urmaq wakmanta diosman asuykunanpaqqa chaskinanmi ancianokunaq bibliawan yanapasqanta, rikuchinantaq pesapakusqanta."
tiene que producir “frutos propios del arrepentimiento ”.,rikuchinallantaq ‘ kawsaynin t’ikrasqa kasqanta ’.
¿qué podemos hacer para estar “saludables en fe ”?,¿imatan ruwananchis ‘ iñiyninchispi allin kananchispaq ’?
¿qué puede llevarnos a creer que hemos pecado contra el espíritu santo?,¿imanaqtintaq wakin yuyaykunku santo espíritu contra huchallikusqankuta?
"nunca permitamos que satanás nos desanime y, como consecuencia, dejemos de servir a dios.","amapuni munasunchu satanás pisi kallpayachiwananchista, diosmanta t’aqawananchistapas."
"si a jehová no le complace la muerte del inicuo, menos aún le complacerá perder a uno de sus siervos.","jehová diosqa manan kusikunchu millay runakunaq wañusqanwan, ¿chaychu munanman kamachinkuna chinkananta?"
"así pues, si tememos haber pecado contra el espíritu, alimentémonos sin cesar de la palabra de dios, especialmente de porciones tan consoladoras como los salmos.","chayrayku sichus santo espirituq contranpi huchallikusqanchista yuyaspa manchakushanchis chayqa, sapa kutilla diospa simin qelqata leenanchis, astawanqa salmos qelqapi kallpachaq textokunata, huk textokunatapas."
¿qué razonamiento puede ayudar a uno a darse cuenta de que no ha pecado contra el espíritu santo?,¿imakunata tapukuspan yachasunman santo espíritu contra mana huchallikusqanchista?
quienes teman haber pecado contra el espíritu santo hacen bien en preguntarse: “¿he blasfemado contra el espíritu santo?,santo espirituq contranpi huchallikusqankuta yuyaykuqkunaqa kaytan tapukunanku: “¿diospa santo espirituntachu pisicharani?
¿me he arrepentido de verdad de mi pecado?,¿cheqaqtapunichu huchaman urmasqaymanta pesapakuni?
¿tengo fe en que dios perdona?,¿iñinichu diospa pampachaykuq kasqanpi?
¿soy un apóstata que ha rechazado la luz espiritual? ”.,¿diospa yachachiyninta pisichaspachu pay contra hatarini? ”
"si se han arrepentido y tienen fe en el perdón divino, está claro que no han pecado contra el espíritu santo.","sichus huchallikusqaykimanta pesapakuranki, diospa pampachayninpitaq iñinkipas chayqa, manan diospa santo espiritun contrachu huchallikuranki."
¿qué preguntas se contestarán en el siguiente artículo?,¿ima tapuykunata kutichisun qatimuq estudiopi?
¡qué tranquilidad sentimos cuando estamos seguros de que no hemos pecado contra el espíritu santo!,¡maytan kusikunchis santo espirituq contranpi mana huchallikusqanchista yachaspa!
algunas de ellas son: “¿me dejo guiar por el espíritu santo de dios?,wakinmi kaykuna: “¿diospa santo espiritunpa munasqanman hinachu kawsashani?
¿manifiesto su fruto en mi vida? ”.,¿santo espirituq rurun sut’itachu kawsayniypi rikukun? ”.
¿qué respondería?,¿imaynatan kutichiwaq?
 ¿por qué podemos decir que es posible pecar contra el espíritu santo?, ¿imaynapin yachanchis santo espíritu contra huchallikuy kasqanta?
"además, sabía de quién era.",chaymi mana creeyta atirqanchu.
¿qué debería hacer?,¿imatan pay ruwanan?
¿qué haría usted?,¿imatan qan ruwawaq?
su respuesta dejará ver lo que opina sobre la honradez y a qué grado forma parte de usted.,"imayna kutichisqaykin rikuchinqa honrado kayta imayna qhawarisqaykita, honradochus kanki icha manachus chaytapas."
¿qué son los valores?,¿imakunatan nikun “allin ruwaykuna ” nispa?
son principios morales o éticos que se consideran necesarios y deseables.,"chay ruwaykunaqa allinta ch’uyata kawsananchispaqmi yanapawanchis, chaykunatan runaqa necesitan."
"algunos de ellos son el perdón, la honradez, el amor, el respeto por la vida y la autodisciplina.","wakinkunan kaykuna: pampachay, honrado kay, munakuy, kawsayta respetay, hukkunapas."
"los valores influyen en el comportamiento de las personas, en sus prioridades y relaciones, así como en la guía moral que dan a sus hijos.","chaykunaqa runakunatan yanapan imayna kanankupaq, hukkunawan imaynata kawsanankupaq, wawankuta allinta uywanankupaqpas."
"como se puede ver, son esenciales, y sin embargo están en decadencia.",rikusqanchis hina chaykunaqa ancha importanten ichaqa chinkapushanmi.
"en dos mil ocho, un grupo de investigadores de estados unidos pidió a cientos de jóvenes adultos su opinión sobre los valores morales.",watapin estados unidospi askha wayna sipaskunata tapurqanku imakunachus allin ruwaykuna kasqanmanta.
"“lo más deprimente es descubrir lo deficientes que son para reflexionar o hablar sobre cuestiones de moralidad ”, escribió david brooks en the new york times.","huk qelqapin david brooks nirqan: “manan reparankuchu imakunachus allin ruwaykuna kasqanta, chayqa ancha llakikunapaqmi ”, nispa."
"la mayoría veían la violación y el asesinato como algo malo, pero “aparte de esos casos extremos, ni siquiera se cuestionaban si cosas como conducir borracho, copiar en los exámenes o engañar a la pareja serían buenas o malas ”.","violaciontawan runa wañuchiyllatawanmi huchapaq qhawarirqanku, ichaqa “manan yacharqankuchu carrota machasqa manejay, examenkunapi plageakuy, parejanta engañay huk ruwaykunapas allinchus icha mana allinchus kasqanta ”."
como dijo uno de los entrevistados: “la verdad es que no pienso mucho en si algo es bueno o malo ”.,"huk sipaspas nirqanmi: “manan nishutachu importawan imachus allin imataqchus mana allin kasqanqa ”, nispa."
"la mentalidad de muchos es: “si te parece que está bien, hazlo.",askhan khaynata yuyaykunku: “sichus allinpaq qhawarinki chayqa ruwallay.
sigue los dictados de tu corazón ”.,"sonqoykiq nisqasuykita ruway ”, nispa."
¿es sabia esa forma de pensar?,¿allinchu kanman chhaynata yuyaykuy?
"aunque el corazón es capaz de sentir amor y compasión, también es traicionero y desesperado.","sonqoyoq kasqanchisraykun munakuq khuyapayakuq kanchis, ichaqa chay sonqoqa “q’otukuqmi, millay ruwaqtaq kanpas ” ."
"esta es la realidad, y se refleja en lo mucho que ha cambiado la moralidad de este mundo, un hecho que predijo la biblia en los siguientes términos: “en los tiempos últimos vendrán días difíciles.","chayraykun runakunaqa mana allintachu kawsanku, bibliapas nirqanñan: “tukukuy qaylla p’unchaykunataqa runakunan kanqa paykuna kikinkuta munakuqkuna, qolqe sonqokuna, alabakuqkuna, hatunchakuqkuna, millay yana alma runakuna, tukuy allinkaqta cheqnikuqkuna."
"los hombres serán egoístas, amantes del dinero, orgullosos y vanidosos ...; serán crueles y enemigos de todo lo bueno ...; buscarán sus propios placeres en vez de buscar a dios ”.","dios munakunankutaqa aycha kusichiyllapin puriyta munanqaku ”, nispa."
"en vista de la situación, ¿no deberíamos cuestionar a nuestro corazón en vez de seguirlo ciegamente?","chhaynaqa sonqonchis ima munasqantapas manaraq ruwashaspaqa allintan yuyaykunanchis, manan usqhayllachu ruwananchis."
"así es, la biblia dice con toda sinceridad: “el que confía en su propio corazón es estúpido ”, o insensato.","biblian sut’ita niwanchis: “yuyaykusqallanman hap’ipakuqqa mana yuyayniyoqmi, yachaywan ruwaqmi ichaqa allillanpuni kanqa ”, nispa ."
"para que sea útil, el corazón necesita “ajustarse ” como las brújulas usando valores.",sonqonchis allin kaqta ruwachiwananchispaqqa yachananchismi imakunachus allin ruwaykuna kasqanta.
¿y dónde están dichos valores?,¿maypin yachasunman allin ruwaykunamanta?
"muchos los buscan en la biblia, pues reconocen su sabiduría y su franqueza.",askha runakunan bibliapi maskhanku sut’ita imatapas yachachisqanrayku.
está demostrado que los valores bíblicos están hechos a la medida del ser humano.,bibliapi tarikuq allin ruwaykunaqa runakunapaq hinan ruwasqa kashan.
"veamos solo algunos de ellos: el amor, la bondad, la generosidad y la honradez.","wakinkunan kaykuna: munakuy, sumaq sonqo kay, qoykukuq kay, honrado kaypas."
"“si aprendes a amar, tienes muchas probabilidades de que la felicidad llame a tu puerta ”, asegura el libro la fórmula de la felicidad.","huk libron nin: “sichus munakuq kanki chayqa, kusisqan kawsanki ”, nispa."
sin él no puede ser verdaderamente feliz.,¿ima ninmi biblia?
"lo que dice la biblia: “vístanse de amor, porque es un vínculo perfecto de unión ”.","ninmi: “munakuq sonqo kaychis, munakuymi tukuy imatapas sumaqta hukllaman tukuchin ”, nispa."
"el mismo escritor bíblico aseguró: “si no tengo amor, nada soy ”.","chay librota qelqaqmi nillantaq: “manataq munakuyniy kanmanchu chayqa, manan imapaschu kayman ”, nispa."
"pero no se trata de un amor como el de un hombre y una mujer ni de sentimentalismo; es un amor gobernado por principios, el tipo de amor que nos mueve a ayudar a un extraño en dificultades sin esperar nada a cambio.","ichaqa manan huk qhari huk warmiwan imayna munanakusqankumantachu rimashan nitaq sonqopi imayna sientekusqamantachu; aswanpas chay munakuyqa bibliaq nisqanman hinan, chay munakuymi tanqawanchis mana reqsisqa runata yanapanapaq."
"todas las cosas las soporta, todas las aguanta ”.","munakuqqa tukuy imatan muchun, tukuy imapin pacienciakun ”, nispa."
"en las familias que no tienen esa clase de amor todos sufren, especialmente los hijos.","chay munakuy familiapi mana kaqtinqa llapankun ñak’arinku, astawanqa wawakuna."
"una mujer llamada monica escribió que de niña sufrió abuso físico, verbal y sexual.",monican willakurqan erqe kashaqtin maqasqankuta k’amisqankuta abusasqankutapas.
"“no tenía amor ni esperanza ”, recuerda. a los quince años de edad se mudó con sus abuelos, que son testigos de jehová.","paymi nin: “manan munakuyniypas suyakuyniypas karqanchu ”, nispa. chunka phichqa.niyuq watanpi kashaspan abuelonkunawan tiyaq ripurqan, paykunaqa jehová diospa testigonmi kanku."
"ahora, monica está felizmente casada, y junto con su esposo y sus tres hijos demuestra su amor a la gente llevándole el mensaje de la biblia.","kunanqa qosanwan kinsa wawankunawan iman runakunata bibliawan yanapashanku, chayta ruwaspan rikuchin runakuna munakusqanta."
"uno de los peores enemigos del amor es el materialismo, es decir, la idea de que el valor más importante es la búsqueda del bienestar económico y los placeres.",qolqetapas kusirikuykunatapas aswan importantepaq qhawariyqa munakuytan chinkachin.
"sin embargo, como se ha demostrado estudio tras estudio, una vez que se alcanza cierto nivel de ingresos sorprendentemente bajo , ganar más dinero ya no produce más felicidad.","runakunaqa manan askha qolqeyoq kaspachu aswan kusisqa kawsanku, chaytan investigaq runakuna repararqanku."
"de hecho, es muy probable que quienes tienen valores materialistas vayan camino a la infelicidad.",aswanpas qolqe sonqo runakunaqa llakipin tarikunkuman.
justo eso es lo que enseña la biblia.,chaytan bibliaqa yachachin.
"en eclesiastés cinco: diez dice: “un simple amador de la plata no estará satisfecho con plata, ni ningún amador de la riqueza con los ingresos.","eclesiastés phichqa.niyuq: chunka texton nin: “qolqeman sonqollikuqqa, astawanpunin munan, imaymanayoq kayta munaqpas, astawanraqmi tariyta munan."
esto también es vanidad ”.,"chaypas yanqallataqmi ”, nispa."
además aconseja: “que su modo de vivir esté exento del amor al dinero ”.,"chaymantapas nillantaq: “ama qolqe sonqo kaychischu ”, nispa."
la idea es que dar produce más felicidad que recibir.,chhaynaqa aswan kusisqan kanki qospa chaskisqaykimantaqa.
